date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:30:27	204/204	---MCZ	200	added ('OK')	text/plain	date:Fri,%2027%20Sep%202024%2019:30:27%20GMT	https://tabakkatabacaria.com/robots.txt		(from )
16:30:30	266396/266396	---MCZ	200	added ('OK')	text/html	date:Fri,%2027%20Sep%202024%2019:30:27%20GMT	https://tabakkatabacaria.com/produto/pod-descartavel-ignite-v50-5000-puffs/	C:/Users/user/Desktop/BLACK/PODS/tabakkatabacaria.com/produto/pod-descartavel-ignite-v50-5000-puffs/index.html	(from )
16:30:30	110802/110802	---M--	200	added ('OK')	image/jpeg	etag:%22654af1b7-1b0d2%22	https://tabakkatabacaria.com/wp-content/uploads/2023/04/WhatsApp-Image-2023-04-24-at-12.46.29.jpeg	C:/Users/user/Desktop/BLACK/PODS/tabakkatabacaria.com/wp-content/uploads/2023/04/WhatsApp-Image-2023-04-24-at-12.46.29.jpg	(from https://tabakkatabacaria.com/produto/pod-descartavel-ignite-v50-5000-puffs/)
16:30:31	46555/46555	---MCZ	200	added ('OK')	text/css	etag:W/%2266ba47d9-b5db%22	https://tabakkatabacaria.com/wp-content/plugins/instagram-feed/css/sbi-styles.min.css?ver=6.5.0	C:/Users/user/Desktop/BLACK/PODS/tabakkatabacaria.com/wp-content/plugins/instagram-feed/css/sbi-styles.mine6df.css	(from https://tabakkatabacaria.com/produto/pod-descartavel-ignite-v50-5000-puffs/)
16:30:31	112427/112427	---MCZ	200	added ('OK')	text/css	etag:W/%2266e14cc7-1b72b%22	https://tabakkatabacaria.com/wp-includes/css/dist/block-library/style.min.css?ver=6.6.2	C:/Users/user/Desktop/BLACK/PODS/tabakkatabacaria.com/wp-includes/css/dist/block-library/style.min109c.css	(from https://tabakkatabacaria.com/produto/pod-descartavel-ignite-v50-5000-puffs/)
16:30:31	3287/3287	---MCZ	200	added ('OK')	text/css	etag:W/%2266e3a7a5-cd7%22	https://tabakkatabacaria.com/wp-content/plugins/woocommerce/assets/css/photoswipe/photoswipe.min.css?ver=9.3.1	C:/Users/user/Desktop/BLACK/PODS/tabakkatabacaria.com/wp-content/plugins/woocommerce/assets/css/photoswipe/photoswipe.minf297.css	(from https://tabakkatabacaria.com/produto/pod-descartavel-ignite-v50-5000-puffs/)
16:30:31	7887/7887	---MCZ	200	added ('OK')	text/css	etag:W/%2266e3a7a5-1ecf%22	https://tabakkatabacaria.com/wp-content/plugins/woocommerce/assets/css/photoswipe/default-skin/default-skin.min.css?ver=9.3.1	C:/Users/user/Desktop/BLACK/PODS/tabakkatabacaria.com/wp-content/plugins/woocommerce/assets/css/photoswipe/default-skin/default-skin.minf297.css	(from https://tabakkatabacaria.com/produto/pod-descartavel-ignite-v50-5000-puffs/)
16:30:31	798/798	---M--	200	added ('OK')	application/rss+xml	etag:%2287cb614cadc2a1d9dc49354fc72515b4%22	https://tabakkatabacaria.com/produto/pod-descartavel-ignite-v50-5000-puffs/feed/	C:/Users/user/Desktop/BLACK/PODS/tabakkatabacaria.com/produto/pod-descartavel-ignite-v50-5000-puffs/feed/index.html	(from https://tabakkatabacaria.com/produto/pod-descartavel-ignite-v50-5000-puffs/)
16:30:32	35332/35332	---MCZ	200	added ('OK')	text/css	etag:W/%2266db0f30-8a04%22	https://tabakkatabacaria.com/wp-content/plugins/woo-variation-swatches/assets/css/frontend.min.css?ver=1725632304	C:/Users/user/Desktop/BLACK/PODS/tabakkatabacaria.com/wp-content/plugins/woo-variation-swatches/assets/css/frontend.minb1fa.css	(from https://tabakkatabacaria.com/produto/pod-descartavel-ignite-v50-5000-puffs/)
16:30:32	10560/10560	---MCZ	200	added ('OK')	text/css	etag:W/%22654af05f-2940%22	https://tabakkatabacaria.com/wp-content/plugins/woo-bought-together-premium/assets/css/frontend.css?ver=5.1.1	C:/Users/user/Desktop/BLACK/PODS/tabakkatabacaria.com/wp-content/plugins/woo-bought-together-premium/assets/css/frontend3c21.css	(from https://tabakkatabacaria.com/produto/pod-descartavel-ignite-v50-5000-puffs/)
16:30:32	8572/8572	---MCZ	200	added ('OK')	text/css	etag:W/%22654af055-217c%22	https://tabakkatabacaria.com/wp-content/plugins/woo-product-bundle-premium/assets/css/frontend.css?ver=7.0.5	C:/Users/user/Desktop/BLACK/PODS/tabakkatabacaria.com/wp-content/plugins/woo-product-bundle-premium/assets/css/frontendfd3b.css	(from https://tabakkatabacaria.com/produto/pod-descartavel-ignite-v50-5000-puffs/)
16:30:32	37212/37212	---MCZ	200	added ('OK')	text/css	etag:W/%226696d109-915c%22	https://tabakkatabacaria.com/wp-content/plugins/ajax-search-for-woocommerce/assets/css/style.min.css?ver=1.28.1	C:/Users/user/Desktop/BLACK/PODS/tabakkatabacaria.com/wp-content/plugins/ajax-search-for-woocommerce/assets/css/style.min8915.css	(from https://tabakkatabacaria.com/produto/pod-descartavel-ignite-v50-5000-puffs/)
16:30:32	24114/24114	---MCZ	200	added ('OK')	text/css	etag:W/%2266cc8f9d-5e32%22	https://tabakkatabacaria.com/wp-content/themes/kadence/assets/css/global.min.css?ver=1.2.9	C:/Users/user/Desktop/BLACK/PODS/tabakkatabacaria.com/wp-content/themes/kadence/assets/css/global.min077c.css	(from https://tabakkatabacaria.com/produto/pod-descartavel-ignite-v50-5000-puffs/)
16:30:33	26606/26606	---MCZ	200	added ('OK')	text/css	etag:W/%2266cc8f9d-67ee%22	https://tabakkatabacaria.com/wp-content/themes/kadence/assets/css/header.min.css?ver=1.2.9	C:/Users/user/Desktop/BLACK/PODS/tabakkatabacaria.com/wp-content/themes/kadence/assets/css/header.min077c.css	(from https://tabakkatabacaria.com/produto/pod-descartavel-ignite-v50-5000-puffs/)
16:30:33	33990/33990	---MCZ	200	added ('OK')	text/css	etag:W/%2266cc8f9d-84c6%22	https://tabakkatabacaria.com/wp-content/themes/kadence/assets/css/content.min.css?ver=1.2.9	C:/Users/user/Desktop/BLACK/PODS/tabakkatabacaria.com/wp-content/themes/kadence/assets/css/content.min077c.css	(from https://tabakkatabacaria.com/produto/pod-descartavel-ignite-v50-5000-puffs/)
16:30:33	5759/5759	---MCZ	200	added ('OK')	text/css	etag:W/%2266cc8f9d-167f%22	https://tabakkatabacaria.com/wp-content/themes/kadence/assets/css/comments.min.css?ver=1.2.9	C:/Users/user/Desktop/BLACK/PODS/tabakkatabacaria.com/wp-content/themes/kadence/assets/css/comments.min077c.css	(from https://tabakkatabacaria.com/produto/pod-descartavel-ignite-v50-5000-puffs/)
